epoca,perdida_train,perdida_val,auc,f1,sensibilidad,especificidad,umbral
1,1.0162823370524816,0.5013006414685931,0.5555555555555556,0.7777777777777778,0.7777777777777778,0.6,0.4098261594772339
2,1.0005830015454973,0.5019378917557853,0.4888888888888888,0.7058823529411765,0.6666666666666666,0.6,0.47834351658821106
3,0.842116151537214,0.4567927122116089,0.9111111111111111,0.8888888888888888,0.8888888888888888,0.8,0.7502637505531311
4,0.47433820153985706,0.2491449543407985,0.9333333333333333,0.9473684210526315,1.0,0.8,0.6105864644050598
5,0.3122027463146618,0.10398360022476741,1.0,1.0,1.0,1.0,0.8131307363510132
6,0.13435578851827554,0.1260992011853627,1.0,1.0,1.0,1.0,0.7836673259735107
7,0.10492772748693824,0.32609971186944414,0.9111111111111112,0.9473684210526315,1.0,0.8,0.8546234965324402
8,0.09286886293973241,0.33982807071879506,1.0,1.0,1.0,1.0,0.9926486611366272
9,0.09145893056743912,0.33526655978390146,0.9333333333333333,0.9473684210526315,1.0,0.8,0.9372870922088623
10,0.10298708906131131,0.16742637753486633,0.9777777777777779,0.9411764705882353,0.8888888888888888,1.0,0.9001703262329102
11,0.06797191527272974,0.04262611376387732,1.0,1.0,1.0,1.0,0.7302904725074768
12,0.03008845368666308,0.028677993320993016,1.0,1.0,1.0,1.0,0.9727243185043335
13,0.19889221959082143,0.09488307391958577,1.0,1.0,1.0,1.0,0.37808915972709656
